J1 \ J2,AS2LMoveBot,ASAggressiveBot,ASBot,ASCenterBot,ASGigaSmartBot,ASLAggressiveBot,ASLCenterBot,ASLGigaSmartBot,ASLMoveBot,ASLOpenSpacesBot,ASLSmartBot,ASLStallBot,ASOpenSpacesBot,ASStallBot,AStarBot,RandomBot,RandomMoveBot
AS2LMoveBot,J1,J2,J2,J2,J2,J1,J2,J2,J2,J2,J1,J1,J2,J1,J1,J1,J1
ASAggressiveBot,Draw,Draw,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1
ASBot,J1,J1,J2,J1,J1,J2,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1
ASCenterBot,J2,J2,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J2,J1,J1,J1,J1
ASGigaSmartBot,J1,J1,J1,J1,J2,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1
ASLAggressiveBot,J1,J2,J2,J2,J2,J2,J2,J2,Draw,J1,J2,J2,J1,J1,J1,J1,J1
ASLCenterBot,J1,J2,J1,J2,J1,J1,J2,J2,J2,J2,J2,J2,J2,J1,J1,J1,J1
ASLGigaSmartBot,J1,J1,J2,J2,J2,J1,J2,J2,J1,J1,J2,Draw,J2,J1,J1,J1,J1
ASLMoveBot,J1,J2,J2,J2,J2,J2,J1,J1,J2,J1,J2,J2,J2,J1,J1,J1,J1
ASLOpenSpacesBot,Draw,J2,J2,J1,J1,J2,J1,J1,J1,Draw,J1,Draw,J2,J1,J1,J1,J1
ASLSmartBot,J1,J2,Draw,J1,J2,J1,J1,J2,J2,J2,J2,J1,Draw,J1,J1,J1,J1
ASLStallBot,J2,J1,J2,Draw,J2,J1,Draw,J2,J2,J2,J2,J2,J1,J2,J2,J1,J1
ASOpenSpacesBot,J2,J1,J2,J1,J2,J2,J2,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1
ASStallBot,J2,J2,J2,J1,J2,J2,J1,J2,J2,J2,J2,J1,J2,Draw,J2,J1,Draw
AStarBot,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J1,J2,J1,J2,J1,J1
RandomBot,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J1,J2
RandomMoveBot,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,Draw,J2,J2,J2,J1,J1
