bot,winrate_j1,winrate_j2,winrate_global
AS2LMoveBot,0.471,0.471,0.471
ASAggressiveBot,0.941,0.676,0.809
ASBot,0.882,0.735,0.809
ASCenterBot,0.824,0.5,0.662
ASGigaSmartBot,0.941,0.706,0.824
ASLAggressiveBot,0.441,0.529,0.485
ASLCenterBot,0.471,0.5,0.485
ASLGigaSmartBot,0.559,0.588,0.574
ASLMoveBot,0.471,0.559,0.515
ASLOpenSpacesBot,0.676,0.5,0.588
ASLSmartBot,0.588,0.588,0.588
ASLStallBot,0.353,0.382,0.368
ASOpenSpacesBot,0.706,0.618,0.662
ASStallBot,0.294,0.206,0.25
AStarBot,0.235,0.294,0.265
RandomBot,0.059,0.0,0.029
RandomMoveBot,0.147,0.088,0.118
